"i1","i2","i3","i4","i5","i6","i7","i8","i9","a1","a2","a3","a4","a5","a6","a7","a8","a9"
0.2,0.2,0.2,0.2,0.4,0.2,0.8,0.2,0.8,0,0,0,0,0,0,0,1,0
0.2,0.2,0.2,0.2,0.4,0.2,0.8,0.4,0.8,0,1,0,0,0,0,0,0,0
0.2,0.2,0.2,0.2,0.4,0.2,0.8,0.8,0.2,0,0,0,0,0,0,0,0,1
0.2,0.2,0.2,0.2,0.4,0.2,0.8,0.8,0.4,1,0,0,0,0,0,0,0,0
0.2,0.2,0.2,0.2,0.4,0.4,0.2,0.8,0.8,0,0,0,1,0,0,0,0,0
0.2,0.2,0.2,0.2,0.4,0.4,0.8,0.2,0.8,0,0,0,1,0,0,0,0,0
0.2,0.2,0.2,0.2,0.4,0.4,0.8,0.8,0.2,0,0,0,1,0,0,0,0,0
0.2,0.2,0.2,0.2,0.4,0.8,0.2,0.2,0.2,1,0,0,0,0,0,0,0,0
0.2,0.2,0.2,0.2,0.4,0.8,0.2,0.2,0.8,0,0,1,0,0,0,0,0,0
0.2,0.2,0.2,0.2,0.4,0.8,0.2,0.4,0.8,0,1,0,0,0,0,0,0,0
0.2,0.2,0.2,0.2,0.4,0.8,0.2,0.8,0.2,0,0,1,0,0,0,0,0,0
0.2,0.2,0.2,0.2,0.4,0.8,0.2,0.8,0.4,1,0,0,0,0,0,0,0,0
0.2,0.2,0.2,0.2,0.4,0.8,0.4,0.2,0.8,0,0,1,0,0,0,0,0,0
0.2,0.2,0.2,0.2,0.4,0.8,0.4,0.8,0.2,1,0,0,0,0,0,0,0,0
0.2,0.2,0.2,0.2,0.4,0.8,0.4,0.8,0.8,0,0,1,0,0,0,0,0,0
0.2,0.2,0.2,0.2,0.4,0.8,0.8,0.2,0.2,0,0,0,0,0,0,0,1,0
0.2,0.2,0.2,0.2,0.4,0.8,0.8,0.2,0.4,1,0,0,0,0,0,0,0,0
0.2,0.2,0.2,0.2,0.4,0.8,0.8,0.4,0.2,1,0,0,0,0,0,0,0,0
0.2,0.2,0.2,0.2,0.4,0.8,0.8,0.4,0.8,0,1,0,0,0,0,0,0,0
0.2,0.2,0.2,0.2,0.4,0.8,0.8,0.8,0.4,1,0,0,0,0,0,0,0,0
0.2,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.2,1,0,0,0,0,0,0,0,0
0.2,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.4,1,0,0,0,0,0,0,0,0
0.2,0.2,0.2,0.2,0.8,0.2,0.2,0.4,0.2,1,0,0,0,0,0,0,0,0
0.2,0.2,0.2,0.2,0.8,0.2,0.2,0.4,0.8,1,0,0,0,0,0,0,0,0
0.2,0.2,0.2,0.2,0.8,0.2,0.2,0.8,0.4,0,1,0,0,0,0,0,0,0
0.2,0.2,0.2,0.2,0.8,0.2,0.4,0.2,0.2,1,0,0,0,0,0,0,0,0
0.2,0.2,0.2,0.2,0.8,0.2,0.4,0.2,0.8,1,0,0,0,0,0,0,0,0
0.2,0.2,0.2,0.2,0.8,0.2,0.4,0.4,0.8,1,0,0,0,0,0,0,0,0
0.2,0.2,0.2,0.2,0.8,0.2,0.4,0.8,0.2,0,1,0,0,0,0,0,0,0
0.2,0.2,0.2,0.2,0.8,0.2,0.4,0.8,0.4,0,1,0,0,0,0,0,0,0
0.2,0.2,0.2,0.2,0.8,0.2,0.8,0.2,0.4,0,0,1,0,0,0,0,0,0
0.2,0.2,0.2,0.2,0.8,0.2,0.8,0.4,0.2,1,0,0,0,0,0,0,0,0
0.2,0.2,0.2,0.2,0.8,0.2,0.8,0.4,0.4,0,0,1,0,0,0,0,0,0
0.2,0.2,0.2,0.2,0.8,0.4,0.2,0.2,0.2,1,0,0,0,0,0,0,0,0
0.2,0.2,0.2,0.2,0.8,0.4,0.2,0.2,0.8,1,0,0,0,0,0,0,0,0
0.2,0.2,0.2,0.2,0.8,0.4,0.2,0.4,0.8,1,0,0,0,0,0,0,0,0
0.2,0.2,0.2,0.2,0.8,0.4,0.2,0.8,0.2,1,0,0,0,0,0,0,0,0
0.2,0.2,0.2,0.2,0.8,0.4,0.2,0.8,0.4,0,0,1,0,0,0,0,0,0
0.2,0.2,0.2,0.2,0.8,0.4,0.4,0.2,0.8,1,0,0,0,0,0,0,0,0
0.2,0.2,0.2,0.2,0.8,0.4,0.4,0.8,0.2,0,1,0,0,0,0,0,0,0
0.2,0.2,0.2,0.2,0.8,0.4,0.4,0.8,0.8,1,0,0,0,0,0,0,0,0
0.2,0.2,0.2,0.2,0.8,0.4,0.8,0.2,0.2,1,0,0,0,0,0,0,0,0
0.2,0.2,0.2,0.2,0.8,0.4,0.8,0.2,0.4,0,0,1,0,0,0,0,0,0
0.2,0.2,0.2,0.2,0.8,0.4,0.8,0.4,0.2,0,0,1,0,0,0,0,0,0
0.2,0.2,0.2,0.2,0.8,0.4,0.8,0.4,0.8,1,0,0,0,0,0,0,0,0
0.2,0.2,0.2,0.2,0.8,0.4,0.8,0.8,0.4,0,0,1,0,0,0,0,0,0
0.2,0.2,0.2,0.2,0.8,0.8,0.2,0.2,0.4,0,0,0,1,0,0,0,0,0
0.2,0.2,0.2,0.2,0.8,0.8,0.2,0.4,0.2,1,0,0,0,0,0,0,0,0
0.2,0.2,0.2,0.2,0.8,0.8,0.2,0.4,0.4,0,0,0,0,0,0,1,0,0
0.2,0.2,0.2,0.2,0.8,0.8,0.4,0.2,0.2,0,0,0,1,0,0,0,0,0
0.2,0.2,0.2,0.2,0.8,0.8,0.4,0.2,0.4,0,0,0,1,0,0,0,0,0
0.2,0.2,0.2,0.2,0.8,0.8,0.4,0.4,0.2,0,0,0,1,0,0,0,0,0
0.2,0.2,0.2,0.2,0.8,0.8,0.4,0.4,0.8,1,0,0,0,0,0,0,0,0
0.2,0.2,0.2,0.2,0.8,0.8,0.4,0.8,0.4,1,0,0,0,0,0,0,0,0
0.2,0.2,0.2,0.2,0.8,0.8,0.8,0.4,0.4,1,0,0,0,0,0,0,0,0
0.2,0.2,0.2,0.4,0.2,0.2,0.2,0.2,0.8,0,0,0,0,0,0,1,0,0
0.2,0.2,0.2,0.4,0.2,0.2,0.2,0.8,0.2,0,0,0,0,1,0,0,0,0
0.2,0.2,0.2,0.4,0.2,0.2,0.2,0.8,0.8,0,0,0,0,0,0,1,0,0
0.2,0.2,0.2,0.4,0.2,0.2,0.4,0.8,0.8,1,0,0,0,0,0,0,0,0
0.2,0.2,0.2,0.4,0.2,0.2,0.8,0.2,0.2,0,0,0,0,1,0,0,0,0
0.2,0.2,0.2,0.4,0.2,0.2,0.8,0.2,0.8,1,0,0,0,0,0,0,0,0
0.2,0.2,0.2,0.4,0.2,0.2,0.8,0.4,0.8,0,0,0,0,1,0,0,0,0
0.2,0.2,0.2,0.4,0.2,0.2,0.8,0.8,0.2,1,0,0,0,0,0,0,0,0
0.2,0.2,0.2,0.4,0.2,0.2,0.8,0.8,0.4,0,1,0,0,0,0,0,0,0
0.2,0.2,0.2,0.4,0.2,0.4,0.2,0.8,0.8,0,0,0,0,1,0,0,0,0
0.2,0.2,0.2,0.4,0.2,0.4,0.8,0.2,0.8,0,0,0,0,1,0,0,0,0
0.2,0.2,0.2,0.4,0.2,0.4,0.8,0.8,0.2,0,0,0,0,1,0,0,0,0
0.2,0.2,0.2,0.4,0.2,0.8,0.2,0.2,0.2,1,0,0,0,0,0,0,0,0
0.2,0.2,0.2,0.4,0.2,0.8,0.2,0.2,0.8,0,0,1,0,0,0,0,0,0
0.2,0.2,0.2,0.4,0.2,0.8,0.2,0.4,0.8,0,0,1,0,0,0,0,0,0
0.2,0.2,0.2,0.4,0.2,0.8,0.2,0.8,0.2,0,0,1,0,0,0,0,0,0
0.2,0.2,0.2,0.4,0.2,0.8,0.2,0.8,0.4,1,0,0,0,0,0,0,0,0
0.2,0.2,0.2,0.4,0.2,0.8,0.4,0.2,0.8,1,0,0,0,0,0,0,0,0
0.2,0.2,0.2,0.4,0.2,0.8,0.4,0.8,0.2,1,0,0,0,0,0,0,0,0
0.2,0.2,0.2,0.4,0.2,0.8,0.4,0.8,0.8,1,0,0,0,0,0,0,0,0
0.2,0.2,0.2,0.4,0.2,0.8,0.8,0.2,0.2,0,0,1,0,0,0,0,0,0
0.2,0.2,0.2,0.4,0.2,0.8,0.8,0.2,0.4,0,0,0,0,1,0,0,0,0
0.2,0.2,0.2,0.4,0.2,0.8,0.8,0.4,0.2,0,0,0,0,1,0,0,0,0
0.2,0.2,0.2,0.4,0.2,0.8,0.8,0.4,0.8,0,0,1,0,0,0,0,0,0
0.2,0.2,0.2,0.4,0.2,0.8,0.8,0.8,0.4,0,0,0,0,1,0,0,0,0
0.2,0.2,0.2,0.4,0.4,0.2,0.2,0.8,0.8,0,0,0,0,0,1,0,0,0
0.2,0.2,0.2,0.4,0.4,0.2,0.8,0.2,0.8,0,0,0,0,0,1,0,0,0
0.2,0.2,0.2,0.4,0.4,0.2,0.8,0.8,0.2,0,0,0,0,0,1,0,0,0
0.2,0.2,0.2,0.4,0.4,0.8,0.2,0.2,0.8,0,0,1,0,0,0,0,0,0
0.2,0.2,0.2,0.4,0.4,0.8,0.2,0.8,0.2,1,0,0,0,0,0,0,0,0
0.2,0.2,0.2,0.4,0.4,0.8,0.2,0.8,0.8,1,0,0,0,0,0,0,0,0
0.2,0.2,0.2,0.4,0.4,0.8,0.4,0.8,0.8,1,0,0,0,0,0,0,0,0
0.2,0.2,0.2,0.4,0.4,0.8,0.8,0.2,0.2,0,1,0,0,0,0,0,0,0
0.2,0.2,0.2,0.4,0.4,0.8,0.8,0.2,0.8,1,0,0,0,0,0,0,0,0
0.2,0.2,0.2,0.4,0.4,0.8,0.8,0.4,0.8,0,1,0,0,0,0,0,0,0
0.2,0.2,0.2,0.4,0.4,0.8,0.8,0.8,0.2,0,0,0,0,0,0,0,0,1
0.2,0.2,0.2,0.4,0.4,0.8,0.8,0.8,0.4,1,0,0,0,0,0,0,0,0
0.2,0.2,0.2,0.4,0.8,0.2,0.2,0.2,0.2,1,0,0,0,0,0,0,0,0
0.2,0.2,0.2,0.4,0.8,0.2,0.2,0.2,0.8,1,0,0,0,0,0,0,0,0
0.2,0.2,0.2,0.4,0.8,0.2,0.2,0.4,0.8,1,0,0,0,0,0,0,0,0
0.2,0.2,0.2,0.4,0.8,0.2,0.2,0.8,0.2,1,0,0,0,0,0,0,0,0
0.2,0.2,0.2,0.4,0.8,0.2,0.2,0.8,0.4,0,1,0,0,0,0,0,0,0
0.2,0.2,0.2,0.4,0.8,0.2,0.4,0.2,0.8,1,0,0,0,0,0,0,0,0
0.2,0.2,0.2,0.4,0.8,0.2,0.4,0.8,0.2,1,0,0,0,0,0,0,0,0
0.2,0.2,0.2,0.4,0.8,0.2,0.4,0.8,0.8,1,0,0,0,0,0,0,0,0
0.2,0.2,0.2,0.4,0.8,0.2,0.8,0.2,0.2,1,0,0,0,0,0,0,0,0
0.2,0.2,0.2,0.4,0.8,0.2,0.8,0.2,0.4,0,0,1,0,0,0,0,0,0
0.2,0.2,0.2,0.4,0.8,0.2,0.8,0.4,0.2,0,0,1,0,0,0,0,0,0
0.2,0.2,0.2,0.4,0.8,0.2,0.8,0.4,0.8,1,0,0,0,0,0,0,0,0
0.2,0.2,0.2,0.4,0.8,0.2,0.8,0.8,0.4,1,0,0,0,0,0,0,0,0
0.2,0.2,0.2,0.4,0.8,0.4,0.2,0.2,0.8,1,0,0,0,0,0,0,0,0
0.2,0.2,0.2,0.4,0.8,0.4,0.2,0.8,0.2,1,0,0,0,0,0,0,0,0
0.2,0.2,0.2,0.4,0.8,0.4,0.2,0.8,0.8,1,0,0,0,0,0,0,0,0
0.2,0.2,0.2,0.4,0.8,0.4,0.4,0.8,0.8,1,0,0,0,0,0,0,0,0
0.2,0.2,0.2,0.4,0.8,0.4,0.8,0.2,0.2,1,0,0,0,0,0,0,0,0
0.2,0.2,0.2,0.4,0.8,0.4,0.8,0.2,0.8,1,0,0,0,0,0,0,0,0
0.2,0.2,0.2,0.4,0.8,0.4,0.8,0.4,0.8,1,0,0,0,0,0,0,0,0
0.2,0.2,0.2,0.4,0.8,0.4,0.8,0.8,0.2,1,0,0,0,0,0,0,0,0
0.2,0.2,0.2,0.4,0.8,0.4,0.8,0.8,0.4,0,0,1,0,0,0,0,0,0
0.2,0.2,0.2,0.4,0.8,0.8,0.2,0.2,0.2,1,0,0,0,0,0,0,0,0
0.2,0.2,0.2,0.4,0.8,0.8,0.2,0.2,0.4,0,0,0,0,0,0,1,0,0
0.2,0.2,0.2,0.4,0.8,0.8,0.2,0.4,0.2,0,0,0,0,0,0,1,0,0
0.2,0.2,0.2,0.4,0.8,0.8,0.2,0.4,0.8,1,0,0,0,0,0,0,0,0
0.2,0.2,0.2,0.4,0.8,0.8,0.2,0.8,0.4,0,1,0,0,0,0,0,0,0
0.2,0.2,0.2,0.4,0.8,0.8,0.4,0.2,0.2,1,0,0,0,0,0,0,0,0
0.2,0.2,0.2,0.4,0.8,0.8,0.4,0.2,0.8,1,0,0,0,0,0,0,0,0
0.2,0.2,0.2,0.4,0.8,0.8,0.4,0.4,0.8,1,0,0,0,0,0,0,0,0
0.2,0.2,0.2,0.4,0.8,0.8,0.4,0.8,0.2,1,0,0,0,0,0,0,0,0
0.2,0.2,0.2,0.4,0.8,0.8,0.4,0.8,0.4,1,0,0,0,0,0,0,0,0
0.2,0.2,0.2,0.4,0.8,0.8,0.8,0.2,0.4,0,0,1,0,0,0,0,0,0
0.2,0.2,0.2,0.4,0.8,0.8,0.8,0.4,0.2,0,0,1,0,0,0,0,0,0
0.2,0.2,0.2,0.4,0.8,0.8,0.8,0.4,0.4,0,0,1,0,0,0,0,0,0
0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.2,0.2,0,0,0,0,1,0,0,0,0
0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.2,0.4,0,0,1,0,0,0,0,0,0
0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.4,0.2,0,0,0,0,1,0,0,0,0
0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.4,0.8,0,0,0,0,1,0,0,0,0
0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8,0.4,0,0,1,0,0,0,0,0,0
0.2,0.2,0.2,0.8,0.2,0.2,0.4,0.2,0.2,0,0,0,0,1,0,0,0,0
0.2,0.2,0.2,0.8,0.2,0.2,0.4,0.2,0.8,0,0,0,0,1,0,0,0,0
0.2,0.2,0.2,0.8,0.2,0.2,0.4,0.4,0.8,0,0,0,0,1,0,0,0,0
0.2,0.2,0.2,0.8,0.2,0.2,0.4,0.8,0.2,0,0,0,0,1,0,0,0,0
0.2,0.2,0.2,0.8,0.2,0.2,0.4,0.8,0.4,0,0,1,0,0,0,0,0,0
0.2,0.2,0.2,0.8,0.2,0.2,0.8,0.2,0.4,1,0,0,0,0,0,0,0,0
0.2,0.2,0.2,0.8,0.2,0.2,0.8,0.4,0.2,1,0,0,0,0,0,0,0,0
0.2,0.2,0.2,0.8,0.2,0.2,0.8,0.4,0.4,1,0,0,0,0,0,0,0,0
0.2,0.2,0.2,0.8,0.2,0.4,0.2,0.2,0.2,1,0,0,0,0,0,0,0,0
0.2,0.2,0.2,0.8,0.2,0.4,0.2,0.2,0.8,1,0,0,0,0,0,0,0,0
0.2,0.2,0.2,0.8,0.2,0.4,0.2,0.4,0.8,0,0,0,0,1,0,0,0,0
0.2,0.2,0.2,0.8,0.2,0.4,0.2,0.8,0.2,1,0,0,0,0,0,0,0,0
0.2,0.2,0.2,0.8,0.2,0.4,0.2,0.8,0.4,1,0,0,0,0,0,0,0,0
0.2,0.2,0.2,0.8,0.2,0.4,0.4,0.2,0.8,0,0,0,0,1,0,0,0,0
0.2,0.2,0.2,0.8,0.2,0.4,0.4,0.8,0.2,0,0,1,0,0,0,0,0,0
0.2,0.2,0.2,0.8,0.2,0.4,0.4,0.8,0.8,0,0,0,0,1,0,0,0,0
0.2,0.2,0.2,0.8,0.2,0.4,0.8,0.2,0.2,1,0,0,0,0,0,0,0,0
0.2,0.2,0.2,0.8,0.2,0.4,0.8,0.2,0.4,1,0,0,0,0,0,0,0,0
0.2,0.2,0.2,0.8,0.2,0.4,0.8,0.4,0.2,1,0,0,0,0,0,0,0,0
0.2,0.2,0.2,0.8,0.2,0.4,0.8,0.4,0.8,1,0,0,0,0,0,0,0,0
0.2,0.2,0.2,0.8,0.2,0.4,0.8,0.8,0.4,1,0,0,0,0,0,0,0,0
0.2,0.2,0.2,0.8,0.2,0.8,0.2,0.2,0.4,0,0,0,0,1,0,0,0,0
0.2,0.2,0.2,0.8,0.2,0.8,0.2,0.4,0.2,0,0,0,0,1,0,0,0,0
0.2,0.2,0.2,0.8,0.2,0.8,0.2,0.4,0.4,0,0,0,0,1,0,0,0,0
0.2,0.2,0.2,0.8,0.2,0.8,0.4,0.2,0.2,0,0,0,0,1,0,0,0,0
0.2,0.2,0.2,0.8,0.2,0.8,0.4,0.2,0.4,0,0,0,0,1,0,0,0,0
0.2,0.2,0.2,0.8,0.2,0.8,0.4,0.4,0.2,0,0,0,0,1,0,0,0,0
0.2,0.2,0.2,0.8,0.2,0.8,0.4,0.4,0.8,1,0,0,0,0,0,0,0,0
0.2,0.2,0.2,0.8,0.2,0.8,0.4,0.8,0.4,0,0,0,0,1,0,0,0,0
0.2,0.2,0.2,0.8,0.2,0.8,0.8,0.4,0.4,1,0,0,0,0,0,0,0,0
0.2,0.2,0.2,0.8,0.4,0.2,0.2,0.2,0.2,1,0,0,0,0,0,0,0,0
0.2,0.2,0.2,0.8,0.4,0.2,0.2,0.2,0.8,0,0,0,0,0,0,0,1,0
0.2,0.2,0.2,0.8,0.4,0.2,0.2,0.4,0.8,0,1,0,0,0,0,0,0,0
0.2,0.2,0.2,0.8,0.4,0.2,0.2,0.8,0.2,1,0,0,0,0,0,0,0,0
0.2,0.2,0.2,0.8,0.4,0.2,0.2,0.8,0.4,1,0,0,0,0,0,0,0,0
0.2,0.2,0.2,0.8,0.4,0.2,0.4,0.2,0.8,0,1,0,0,0,0,0,0,0
0.2,0.2,0.2,0.8,0.4,0.2,0.4,0.8,0.2,1,0,0,0,0,0,0,0,0
0.2,0.2,0.2,0.8,0.4,0.2,0.4,0.8,0.8,0,0,1,0,0,0,0,0,0
0.2,0.2,0.2,0.8,0.4,0.2,0.8,0.2,0.2,1,0,0,0,0,0,0,0,0
0.2,0.2,0.2,0.8,0.4,0.2,0.8,0.2,0.4,1,0,0,0,0,0,0,0,0
0.2,0.2,0.2,0.8,0.4,0.2,0.8,0.4,0.2,1,0,0,0,0,0,0,0,0
0.2,0.2,0.2,0.8,0.4,0.2,0.8,0.4,0.8,0,1,0,0,0,0,0,0,0
0.2,0.2,0.2,0.8,0.4,0.2,0.8,0.8,0.4,1,0,0,0,0,0,0,0,0
0.2,0.2,0.2,0.8,0.4,0.4,0.2,0.2,0.8,1,0,0,0,0,0,0,0,0
0.2,0.2,0.2,0.8,0.4,0.4,0.2,0.8,0.2,0,0,1,0,0,0,0,0,0
0.2,0.2,0.2,0.8,0.4,0.4,0.2,0.8,0.8,0,0,0,0,0,0,1,0,0
0.2,0.2,0.2,0.8,0.4,0.4,0.4,0.8,0.8,0,0,1,0,0,0,0,0,0
0.2,0.2,0.2,0.8,0.4,0.4,0.8,0.2,0.2,1,0,0,0,0,0,0,0,0
0.2,0.2,0.2,0.8,0.4,0.4,0.8,0.2,0.8,1,0,0,0,0,0,0,0,0
0.2,0.2,0.2,0.8,0.4,0.4,0.8,0.4,0.8,0,1,0,0,0,0,0,0,0
0.2,0.2,0.2,0.8,0.4,0.4,0.8,0.8,0.2,1,0,0,0,0,0,0,0,0
0.2,0.2,0.2,0.8,0.4,0.4,0.8,0.8,0.4,1,0,0,0,0,0,0,0,0
0.2,0.2,0.2,0.8,0.4,0.8,0.2,0.2,0.2,1,0,0,0,0,0,0,0,0
0.2,0.2,0.2,0.8,0.4,0.8,0.2,0.2,0.4,1,0,0,0,0,0,0,0,0
0.2,0.2,0.2,0.8,0.4,0.8,0.2,0.4,0.2,1,0,0,0,0,0,0,0,0
0.2,0.2,0.2,0.8,0.4,0.8,0.2,0.4,0.8,0,1,0,0,0,0,0,0,0
0.2,0.2,0.2,0.8,0.4,0.8,0.2,0.8,0.4,1,0,0,0,0,0,0,0,0
0.2,0.2,0.2,0.8,0.4,0.8,0.4,0.2,0.2,1,0,0,0,0,0,0,0,0
0.2,0.2,0.2,0.8,0.4,0.8,0.4,0.2,0.8,0,0,1,0,0,0,0,0,0
0.2,0.2,0.2,0.8,0.4,0.8,0.4,0.4,0.8,0,1,0,0,0,0,0,0,0
0.2,0.2,0.2,0.8,0.4,0.8,0.4,0.8,0.2,1,0,0,0,0,0,0,0,0
0.2,0.2,0.2,0.8,0.4,0.8,0.4,0.8,0.4,1,0,0,0,0,0,0,0,0
0.2,0.2,0.2,0.8,0.4,0.8,0.8,0.2,0.4,1,0,0,0,0,0,0,0,0
0.2,0.2,0.2,0.8,0.4,0.8,0.8,0.4,0.2,1,0,0,0,0,0,0,0,0
0.2,0.2,0.2,0.8,0.4,0.8,0.8,0.4,0.4,1,0,0,0,0,0,0,0,0
0.2,0.2,0.2,0.8,0.8,0.2,0.2,0.2,0.4,0,0,0,0,0,1,0,0,0
0.2,0.2,0.2,0.8,0.8,0.2,0.2,0.4,0.2,1,0,0,0,0,0,0,0,0
0.2,0.2,0.2,0.8,0.8,0.2,0.2,0.4,0.4,0,0,0,0,0,1,0,0,0
0.2,0.2,0.2,0.8,0.8,0.2,0.4,0.2,0.2,0,0,0,0,0,1,0,0,0
0.2,0.2,0.2,0.8,0.8,0.2,0.4,0.2,0.4,0,0,0,0,0,1,0,0,0
0.2,0.2,0.2,0.8,0.8,0.2,0.4,0.4,0.2,0,0,0,0,0,0,0,0,1
0.2,0.2,0.2,0.8,0.8,0.2,0.4,0.4,0.8,1,0,0,0,0,0,0,0,0
0.2,0.2,0.2,0.8,0.8,0.2,0.4,0.8,0.4,1,0,0,0,0,0,0,0,0
0.2,0.2,0.2,0.8,0.8,0.2,0.8,0.4,0.4,1,0,0,0,0,0,0,0,0
0.2,0.2,0.2,0.8,0.8,0.4,0.2,0.2,0.2,1,0,0,0,0,0,0,0,0
0.2,0.2,0.2,0.8,0.8,0.4,0.2,0.2,0.4,0,0,1,0,0,0,0,0,0
0.2,0.2,0.2,0.8,0.8,0.4,0.2,0.4,0.2,0,0,0,0,0,0,0,0,1
0.2,0.2,0.2,0.8,0.8,0.4,0.2,0.4,0.8,1,0,0,0,0,0,0,0,0
0.2,0.2,0.2,0.8,0.8,0.4,0.2,0.8,0.4,0,0,1,0,0,0,0,0,0
0.2,0.2,0.2,0.8,0.8,0.4,0.4,0.2,0.2,0,0,0,0,0,0,0,0,1
0.2,0.2,0.2,0.8,0.8,0.4,0.4,0.2,0.8,1,0,0,0,0,0,0,0,0
0.2,0.2,0.2,0.8,0.8,0.4,0.4,0.4,0.8,1,0,0,0,0,0,0,0,0
0.2,0.2,0.2,0.8,0.8,0.4,0.4,0.8,0.2,0,1,0,0,0,0,0,0,0
0.2,0.2,0.2,0.8,0.8,0.4,0.4,0.8,0.4,0,0,1,0,0,0,0,0,0
0.2,0.2,0.2,0.8,0.8,0.4,0.8,0.2,0.4,0,0,1,0,0,0,0,0,0
